Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
0,0.01,0,0,0,0,6.65994,4.208041,13.097744,3
0,0.02,0,0,0,0,6.2573,4.187319,13.224091,3
0,0.03,0,0,0,0,5.95533,4.536606,12.37453,3
0,0.04,0,2.4,0,2.4,5.439591,4.78883,12.538395,3
0,0.05,2.4,12,7.2,21.6,4.550977,5.205027,12.333274,3
0,0.06,32.4,32.4,14.4,79.2,NaN,NaN,NaN,3
0,0.07,56.4,49.2,16.8,122.4,2.571905,5.127247,11.617349,3
0,0.08,92.4,74.4,19.2,186,0.257539,4.03207,12.129146,3
0,0.09,127.2,104.4,24,255.6,-1.05367,1.974231,12.538608,3
0,0.1,166.8,132,30,328.8,0.02774,2.311361,13.676971,3
0,0.11,199.2,159.6,32.4,391.2,0.353509,1.524033,13.819904,3
0,0.12,234,184.8,32.4,451.2,0.357788,1.043298,13.076864,3
0,0.13,270,206.4,32.4,508.8,0.185504,0.529048,12.273907,3
0,0.14,300,224.4,32.4,556.8,0.188365,-0.361284,11.603438,3
0,0.15,325.68,233.68,31.28,590.64,0.707388,-0.918002,12.119625,3
0,0.16,345.92,237.36,31.28,614.56,0.755271,-0.583282,12.51735,3
0,0.17,364.32,237.36,29.44,631.12,0.634684,-0.659411,13.398223,3
0,0.18,380.88,239.2,29.44,649.52,0.720857,-0.208273,13.617274,3
0,0.19,393.76,239.2,29.44,662.4,0.533977,-0.136888,13.39586,3
0,0.2,408.48,241.04,25.76,675.28,0.220159,-0.100765,13.098175,3
0,0.21,423.2,239.2,25.76,688.16,0.083324,-0.254383,12.727983,3
0,0.22,434.24,237.36,23.92,695.52,-0.163741,-0.396043,12.390188,3
0,0.23,443.44,231.84,23.92,699.2,-0.251762,-0.725138,12.325549,3
0,0.24,450.8,226.32,23.92,701.04,-0.17985,-0.540456,12.15604,3
0,0.25,456.32,218.96,22.08,697.36,-0.412216,-0.560072,12.236203,3
0,0.26,460,213.44,22.08,695.52,-0.664564,-0.682241,12.061028,3
0,0.27,460,209.76,18.4,688.16,-0.952516,-0.539715,12.171238,3
0,0.28,460,204.24,18.4,682.64,-1.003223,-0.053873,12.506213,3
0,0.29,460,198.72,18.4,677.12,-1.074726,-0.111728,12.437315,3
0,0.3,455,194.74,16.38,666.12,-1.415176,-0.359033,12.445263,3
0,0.31,444.08,191.1,16.38,651.56,-1.586796,-0.494031,12.482012,3
0,0.32,431.34,191.1,18.2,640.64,-1.69106,-0.328571,12.459255,3
0,0.33,422.24,191.1,18.2,631.54,-1.873351,-0.266284,12.38911,3
0,0.34,409.5,196.56,18.2,624.26,-2.079859,-0.420474,12.174988,3
0,0.35,398.58,198.38,21.84,618.8,-1.982004,-0.099108,12.434109,3
0,0.36,396.76,209.3,23.66,629.72,-2.086142,-0.141458,12.401202,3
0,0.37,394.94,216.58,21.84,633.36,-1.905597,-0.873288,11.915239,3
0,0.38,391.3,222.04,23.66,637,-2.176405,-0.643255,11.877809,3
0,0.39,389.48,223.86,21.84,635.18,-1.940642,-0.467991,11.486876,3
0,0.4,385.84,227.5,23.66,637,-1.951438,-0.720232,11.39008,3
0,0.41,384.02,223.86,23.66,631.54,-1.925453,-0.793574,11.392709,3
0,0.42,376.74,218.4,23.66,618.8,-2.003771,-0.879015,11.65384,3
0,0.43,374.92,214.76,23.66,613.34,-1.964294,-0.94054,11.613255,3
0,0.44,365.82,209.3,23.66,598.78,-1.900559,-0.869587,11.634523,3
0,0.45,355,198.8,24.14,577.94,-1.782881,-0.849111,11.618208,3
0,0.46,336.54,188.86,24.14,549.54,-1.619691,-0.710225,11.432056,3
0,0.47,319.5,181.76,21.3,522.56,-1.507238,-0.63376,11.392719,3
0,0.48,299.62,174.66,24.14,498.42,-1.241362,-0.911722,11.219066,3
0,0.49,284,168.98,24.14,477.12,-1.480037,-0.66338,11.590225,3
0,0.5,274.06,164.72,21.3,460.08,-1.253991,-0.525474,11.645618,3
0,0.51,271.22,161.88,21.3,454.4,-0.998752,-0.798494,11.376502,3
0,0.52,266.96,154.78,21.3,443.04,-0.863122,-0.676998,11.242885,3
0,0.53,257.02,139.16,17.04,413.22,-0.725424,-0.62833,11.044615,3
0,0.54,234.3,119.28,14.2,367.78,-0.696719,-0.59843,10.977084,3
0,0.55,208.74,99.4,9.94,318.08,-0.810774,-0.520771,11.099522,3
0,0.56,184.6,76.68,7.1,268.38,-0.889485,-0.281934,11.259849,3
0,0.57,159.04,59.64,1.42,220.1,-1.048906,-0.362502,11.371577,3
0,0.58,134.9,44.02,0,178.92,-1.273771,-0.100939,11.694474,3
0,0.59,112.18,31.24,0,143.42,-1.174474,0.008469,11.899943,3
