Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
1,0.01,151.92,99.36,164.88,416.16,-13.924821,3.004692,11.582293,8
1,0.02,149.76,99.36,164.88,414,-13.843798,2.96429,11.533181,8
1,0.03,149.76,99.36,167.04,416.16,-13.850773,3.008383,11.52034,8
1,0.04,146.88,99.36,164.88,411.12,-13.839172,3.025622,11.517178,8
1,0.05,146.88,99.36,167.04,413.28,-13.827311,3.051047,11.535049,8
1,0.06,146.88,97.2,164.88,408.96,-13.803605,3.035597,11.543424,8
1,0.07,144.72,97.2,162,403.92,-13.77539,3.035852,11.528913,8
1,0.08,146.88,97.2,159.84,403.92,-13.766685,3.046562,11.565151,8
1,0.09,146.88,94.32,156.96,398.16,-13.747535,3.035798,11.557241,8
1,0.1,144.72,94.32,156.96,396,-13.734759,3.031477,11.560773,8
1,0.11,144.46,94.86,155,394.32,-13.769614,3.007248,11.590023,8
1,0.12,144.46,92.38,151.9,388.74,-13.719295,3.043635,11.660188,8
1,0.13,144.46,92.38,149.42,386.26,-13.672605,3.01599,11.703238,8
1,0.14,144.46,92.38,149.42,386.26,-13.684303,3.031511,11.777547,8
1,0.15,144.46,92.38,146.94,383.78,-13.635868,3.02972,11.825786,8
1,0.16,144.46,92.38,146.94,383.78,-13.598933,3.056731,11.838547,8
1,0.17,144.46,92.38,149.42,386.26,-13.639396,3.055784,11.903778,8
1,0.18,144.46,92.38,146.94,383.78,-13.571458,3.049542,11.929631,8
1,0.19,144.46,92.38,146.94,383.78,-13.577759,3.089012,11.99494,8
1,0.2,144.46,89.9,146.94,381.3,-13.574959,3.105484,12.019732,8
1,0.21,144.46,89.9,144.46,378.82,-13.560754,3.065816,12.061953,8
1,0.22,146.94,89.9,141.98,378.82,-13.579777,3.080665,12.087599,8
1,0.23,144.46,89.9,137.02,371.38,-13.499552,3.102814,12.072161,8
1,0.24,144.46,89.9,139.5,373.86,-13.562072,3.118942,12.082011,8
1,0.25,146.94,89.9,137.02,373.86,-13.511026,3.116284,12.038939,8
1,0.26,147.01,89.67,137.25,373.93,-13.547908,3.060473,12.09536,8
1,0.27,147.01,89.67,137.25,373.93,-13.578176,3.126419,12.059586,8
1,0.28,147.01,89.67,137.25,373.93,-13.548679,3.132419,12.083262,8
1,0.29,147.01,89.67,137.25,373.93,-13.570564,3.079231,12.192401,8
1,0.3,147.01,89.67,134.81,371.49,-13.557406,3.103225,12.073224,8
1,0.31,147.01,89.67,132.37,369.05,-13.551126,3.098123,12.092491,8
1,0.32,147.01,87.23,132.37,366.61,-13.529717,3.082248,12.049409,8
1,0.33,147.01,89.67,132.37,369.05,-13.471022,2.825833,11.954384,8
1,0.34,147.01,89.67,132.37,369.05,-13.480718,3.097384,12.050303,8
1,0.35,149.45,89.67,134.81,373.93,-13.479868,3.138775,12.063219,8
1,0.36,149.45,89.67,134.81,373.93,-13.473637,3.051836,12.100081,8
1,0.37,149.45,89.67,134.81,373.93,-13.494343,2.987349,12.203737,8
1,0.38,149.45,92.11,137.25,378.81,-13.503889,2.984871,12.20647,8
1,0.39,152.5,92.11,134.81,379.42,-13.453601,2.976844,12.273144,8
1,0.4,152.5,92.11,134.81,379.42,-13.36855,3.072804,12.229358,8
1,0.41,154.7,92.3,131.95,378.95,-13.419153,3.040864,12.462838,8
1,0.42,154.7,92.3,134.55,381.55,-13.483973,2.959532,12.370412,8
1,0.43,154.7,92.3,131.95,378.95,-13.467113,3.008087,12.412571,8
1,0.44,157.3,92.3,131.95,381.55,-13.388536,3.007252,12.460857,8
1,0.45,154.7,92.3,131.95,378.95,-13.828787,2.946641,12.197727,8
1,0.46,157.3,94.9,131.95,384.15,-13.749448,2.964245,12.196427,8
1,0.47,159.9,92.3,131.95,384.15,-13.761851,2.922407,12.212546,8
1,0.48,157.3,92.3,130,379.6,-13.744163,2.900701,12.246313,8
1,0.49,159.9,92.3,130,382.2,-13.74142,2.903776,12.264531,8
1,0.5,159.9,94.9,130,384.8,-13.196456,2.962965,12.562496,8
1,0.51,159.9,92.3,130,382.2,-13.184287,2.948059,12.577948,8
1,0.52,159.9,94.9,130,384.8,-13.179866,2.975972,12.599855,8
1,0.53,159.9,92.3,130,382.2,-13.154569,2.98401,12.583598,8
1,0.54,159.9,94.9,130,384.8,-13.112325,2.963267,12.579678,8
1,0.55,162.5,94.9,131.95,389.35,-13.098948,2.983355,12.576815,8
1,0.56,159.39,94.53,132.48,386.4,-13.102451,2.982401,12.56934,8
1,0.57,159.39,94.53,132.48,386.4,-13.08114,2.961625,12.564735,8
1,0.58,159.39,94.53,132.48,386.4,-13.019926,2.919875,12.547677,8
1,0.59,159.39,94.53,132.48,386.4,-13.053477,2.918428,12.530261,8
1,0.6,162.15,94.53,132.48,389.16,-13.03849,2.938475,12.533734,8
1,0.61,159.39,97.29,132.48,389.16,-13.057393,2.921034,12.533718,8
1,0.62,162.15,94.53,132.48,389.16,-13.034267,2.888661,12.546625,8
1,0.63,162.15,97.29,129.72,389.16,-13.055272,2.910065,12.552402,8
1,0.64,164.91,97.29,129.72,391.92,-13.017297,2.934538,12.585442,8
1,0.65,166.98,97.29,126.96,391.23,-13.02844,2.966436,12.62555,8
1,0.66,166.98,97.29,129.72,393.99,-13.025349,2.941894,12.619918,8
1,0.67,166.98,97.29,126.96,391.23,-12.986866,2.941031,12.616098,8
1,0.68,169.74,97.29,126.96,393.99,-13.027088,2.928966,12.618644,8
1,0.69,169.74,97.29,124.89,391.92,-13.333926,2.898544,12.361803,8
1,0.7,172.5,97.29,124.89,394.68,-13.36037,2.880756,12.394654,8
1,0.71,174.72,99.84,122.46,397.02,-13.367315,2.862594,12.385092,8
1,0.72,177.06,99.84,122.46,399.36,-13.349878,2.83908,12.446666,8
1,0.73,177.06,99.84,119.34,396.24,-13.303052,2.832055,12.473348,8
1,0.74,181.74,99.84,117,398.58,-13.282316,2.840169,12.524389,8
1,0.75,181.74,99.84,114.66,396.24,-13.312383,2.821613,12.493406,8
1,0.76,184.86,99.84,114.66,399.36,-13.261399,2.78868,12.53356,8
1,0.77,187.2,99.84,112.32,399.36,-13.284856,2.770761,12.582253,8
1,0.78,187.2,99.84,112.32,399.36,-13.283624,2.759278,12.564488,8
1,0.79,189.54,99.84,109.98,399.36,-13.279822,2.761927,12.562588,8
1,0.8,189.54,99.84,109.98,399.36,-13.174571,2.788856,12.655871,8
1,0.81,191.88,99.84,106.86,398.58,-13.08727,2.785797,12.707449,8
1,0.82,191.88,99.84,106.86,398.58,-12.79138,2.813284,12.904917,8
1,0.83,191.88,99.84,104.52,396.24,-13.09472,2.757725,12.72559,8
1,0.84,195,99.84,106.86,401.7,-12.815895,2.823314,12.934525,8
1,0.85,195,99.84,104.52,399.36,-13.294216,2.724753,12.588496,8
1,0.86,194.34,101.91,104.28,400.53,-12.775463,2.778024,12.963145,8
1,0.87,194.34,99.54,104.28,398.16,-12.829121,2.754485,12.938226,8
1,0.88,197.5,99.54,104.28,401.32,-12.956386,2.743376,12.765706,8
1,0.89,197.5,99.54,104.28,401.32,-12.779255,2.773863,12.843687,8
1,0.9,191.97,99.54,101.91,393.42,-12.686025,2.792074,12.87807,8
1,0.91,197.5,99.54,104.28,401.32,-12.6629,2.778369,12.884629,8
1,0.92,194.34,99.54,104.28,398.16,-12.769014,2.671364,12.825935,8
1,0.93,194.34,99.54,104.28,398.16,-12.79324,2.744023,12.865815,8
1,0.94,194.34,99.54,104.28,398.16,-12.771957,2.756092,12.815512,8
1,0.95,194.34,99.54,104.28,398.16,-12.759376,2.732666,12.815367,8
1,0.96,194.34,99.54,104.28,398.16,-12.734172,2.764062,12.800447,8
1,0.97,191.97,99.54,107.44,398.95,-12.679184,2.720779,12.77408,8
1,0.98,194.34,101.91,107.44,403.69,-12.728186,2.722011,12.755224,8
1,0.99,197.5,99.54,107.44,404.48,-12.684428,2.672092,12.768826,8
1,1,194.34,101.91,107.44,403.69,-12.710705,2.731766,12.821261,8
1,1.01,194.34,101.91,107.44,403.69,-12.719034,2.751112,12.814811,8
1,1.02,197.5,101.91,104.28,403.69,-12.686143,2.753853,12.834579,8
1,1.03,197.5,101.91,104.28,403.69,-12.748504,2.695992,12.809241,8
1,1.04,197.5,99.54,104.28,401.32,-12.775686,2.718375,12.792339,8
1,1.05,194.34,99.54,104.28,398.16,-12.770827,2.697568,12.782942,8
1,1.06,194.34,99.54,104.28,398.16,-12.746515,2.75853,12.78596,8
1,1.07,194.34,99.54,104.28,398.16,-12.767567,2.75635,12.769219,8
1,1.08,194.34,99.54,107.44,401.32,-12.737688,2.718328,12.771856,8
1,1.09,191.97,99.54,107.44,398.95,-12.751832,2.726696,12.774855,8
1,1.1,191.97,99.54,107.44,398.95,-12.771233,2.732326,12.789084,8
1,1.11,191.97,101.91,107.44,401.32,-12.745368,2.785784,12.774921,8
1,1.12,191.97,99.54,107.44,398.95,-12.701029,2.738492,12.767898,8
1,1.13,189.6,99.54,107.44,396.58,-12.705859,2.712089,12.767599,8
1,1.14,189.6,99.54,107.44,396.58,-12.665887,2.739931,12.765201,8
1,1.15,189.6,99.54,109.81,398.95,-12.666648,2.806128,12.779138,8
1,1.16,187.23,99.54,109.81,396.58,-12.679704,2.756156,12.809385,8
1,1.17,187.5,97.5,109.5,394.5,-12.707645,2.737907,12.783186,8
1,1.18,184.5,99.75,112.5,396.75,-12.639954,2.757804,12.816878,8
1,1.19,187.5,97.5,112.5,397.5,-12.659387,2.754836,12.814417,8
1,1.2,184.5,97.5,112.5,394.5,-12.64057,2.757366,12.828351,8
1,1.21,184.5,97.5,112.5,394.5,-12.634113,2.796359,12.825749,8
1,1.22,184.5,97.5,114.75,396.75,-12.651096,2.733964,12.785717,8
1,1.23,180,97.5,114.75,392.25,-12.654258,2.795307,12.808635,8
1,1.24,180,97.5,114.75,392.25,-13.090419,2.689676,12.476274,8
1,1.25,177,94.5,117,388.5,-13.002322,2.690172,12.521473,8
1,1.26,177,97.5,117,391.5,-13.117307,2.63122,12.400488,8
1,1.27,177,94.5,120,391.5,-13.115991,2.662105,12.447602,8
1,1.28,177,94.5,120,391.5,-13.102138,2.6775,12.401633,8
1,1.29,177,94.5,120,391.5,-13.082495,2.664586,12.384417,8
1,1.3,174.75,94.5,120,389.25,-13.038707,2.652891,12.376246,8
1,1.31,174.75,94.5,122.25,391.5,-13.077067,2.698291,12.382282,8
1,1.32,175,97.3,122.5,394.8,-13.06473,2.676104,12.417477,8
1,1.33,175,94.5,122.5,392,-13.12434,2.658179,12.421388,8
1,1.34,175,94.5,122.5,392,-13.099701,2.645997,12.424886,8
1,1.35,175,97.3,122.5,394.8,-13.068013,2.706256,12.447237,8
1,1.36,175,94.5,122.5,392,-13.070675,2.666302,12.438649,8
1,1.37,175,97.3,122.5,394.8,-13.095432,2.691653,12.444454,8
1,1.38,175,94.5,122.5,392,-13.046613,2.669099,12.430408,8
1,1.39,172.2,94.5,124.6,391.3,-13.021254,2.614355,12.372455,8
1,1.4,169.4,94.5,124.6,388.5,-13.022754,2.613211,12.397143,8
1,1.41,172.2,94.5,124.6,391.3,-12.986693,2.67295,12.413454,8
1,1.42,169.4,97.3,127.4,394.1,-12.498078,2.781746,12.762843,8
1,1.43,169.4,97.3,127.4,394.1,-12.518135,2.75593,12.751746,8
1,1.44,169.4,97.3,129.5,396.2,-12.453352,2.768146,12.744054,8
