Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
1,0.01,1.96,29.4,239.12,270.48,-3.407937,3.215775,16.560804,4
1,0.02,6.86,37.24,234.22,278.32,-3.56156,3.153656,16.262898,4
1,0.03,19.6,42.14,227.36,289.1,-3.787542,3.465807,16.258872,4
1,0.04,34.3,51.94,216.58,302.82,-4.477952,3.293836,15.749704,4
1,0.05,51.94,56.84,206.78,315.56,-4.898416,2.61488,14.977369,4
1,0.06,69.58,64.68,194.04,328.3,-5.36586,2.806169,14.940211,4
1,0.07,87.22,71.54,184.24,343,-5.887961,2.205182,15.071945,4
1,0.08,104.86,77.42,172.48,354.76,-6.087398,2.09262,14.845241,4
1,0.09,119.56,79.38,161.7,360.64,-6.447102,1.905947,14.625675,4
1,0.1,129.36,82.32,154.84,366.52,-6.520751,1.869832,14.372402,4
1,0.11,137.2,84.28,147,368.48,-6.591688,1.755635,14.134627,4
1,0.12,144.06,84.28,142.1,370.44,-6.729835,1.656328,13.909182,4
1,0.13,149.94,84.42,137.34,371.7,-6.855978,1.648993,13.844527,4
1,0.14,152.46,86.94,134.82,374.22,-6.732831,1.88664,13.375925,4
1,0.15,154.98,84.42,134.82,374.22,-6.819672,1.87324,13.345548,4
1,0.16,157.5,86.94,134.82,379.26,-6.817487,1.951517,13.291271,4
1,0.17,157.5,86.94,134.82,379.26,-7.11752,1.72316,13.68853,4
1,0.18,157.5,86.94,137.34,381.78,-7.096657,1.658884,13.579166,4
1,0.19,154.98,86.94,137.34,379.26,-6.818947,1.893205,13.007002,4
1,0.2,152.46,86.94,142.38,381.78,-7.223177,1.730558,13.103626,4
1,0.21,147.42,84.42,144.9,376.74,-7.277786,1.518776,13.312334,4
1,0.22,144.9,84.42,147.42,376.74,-7.253157,1.501105,13.108547,4
1,0.23,144.9,84.42,152.46,381.78,-7.168867,1.68145,12.635592,4
1,0.24,142.38,86.94,152.46,381.78,-7.210491,1.624798,12.579011,4
1,0.25,142.38,84.42,152.46,379.26,-7.15872,1.66032,12.539769,4
1,0.26,142.38,84.42,152.46,379.26,-7.276448,1.604469,12.486357,4
1,0.27,144.9,84.42,152.46,381.78,-7.120684,1.640328,12.514637,4
1,0.28,142.2,84.6,150,376.8,-7.064393,1.560002,12.492625,4
1,0.29,142.2,82.2,150,374.4,-7.107115,1.620298,12.507595,4
1,0.3,142.2,84.6,150,376.8,-6.906546,1.337763,12.476521,4
1,0.31,142.2,82.2,147,371.4,-6.93307,1.23909,12.505638,4
1,0.32,142.2,82.2,147,371.4,-6.931235,1.305213,12.710367,4
1,0.33,144.6,82.2,144.6,371.4,-6.936591,1.538024,12.728589,4
1,0.34,144.6,82.2,144.6,371.4,-6.880507,1.487938,12.79232,4
1,0.35,144.6,82.2,144.6,371.4,-6.850821,1.583843,12.873247,4
1,0.36,144.6,82.2,142.2,369,-6.59432,1.499077,12.754327,4
1,0.37,144.6,82.2,142.2,369,-6.521874,1.446939,12.76333,4
1,0.38,147,82.2,139.8,369,-6.542217,1.644372,12.85514,4
1,0.39,144.6,82.2,139.8,366.6,-6.554932,1.670151,12.874876,4
1,0.4,144.6,79.8,137.4,361.8,-6.480277,1.699112,12.934119,4
1,0.41,142.2,77.4,135,354.6,-6.509505,1.749946,12.970473,4
1,0.42,139.8,77.4,135,352.2,-6.365164,1.414735,12.851447,4
1,0.43,139.83,74.93,134.52,349.28,-6.331528,1.438869,12.844496,4
1,0.44,139.83,77.29,132.16,349.28,-6.358424,1.40502,12.776974,4
1,0.45,139.83,74.93,132.16,346.92,-6.3979,1.414025,12.702821,4
1,0.46,139.83,74.93,132.16,346.92,-6.359579,1.39224,12.660205,4
1,0.47,142.19,74.93,129.8,346.92,-6.345265,1.38427,12.593903,4
1,0.48,139.83,77.29,129.8,346.92,-6.317437,1.383255,12.577364,4
1,0.49,139.83,74.93,127.44,342.2,-6.348975,1.365788,12.527935,4
1,0.5,139.83,74.93,124.49,339.25,-6.319573,1.413548,12.502665,4
1,0.51,142.19,74.93,127.44,344.56,-6.380744,1.277545,12.571521,4
1,0.52,142.19,74.93,124.49,341.61,-6.477414,1.148897,12.692962,4
1,0.53,142.19,74.93,124.49,341.61,-6.349818,1.16974,12.656353,4
1,0.54,144.55,74.93,122.13,341.61,-6.404014,1.141884,12.528778,4
1,0.55,144.55,74.93,122.13,341.61,-6.400104,1.198839,12.479999,4
1,0.56,147.5,74.93,119.77,342.2,-6.393414,1.063505,12.442527,4
1,0.57,147.5,77.29,119.77,344.56,-6.344954,1.088095,12.462394,4
1,0.58,149.6,76.84,119.68,346.12,-6.342865,1.096193,12.474262,4
1,0.59,152.32,76.84,119.68,348.84,-6.432099,1.098824,12.450887,4
1,0.6,154.36,76.84,119.68,350.88,-6.451611,1.068444,12.430008,4
1,0.61,154.36,79.56,119.68,353.6,-6.300578,1.194011,12.279516,4
