Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
0,0.01,9.88,0,2.47,12.35,-12.012583,11.923273,2.034035,9
0,0.02,9.88,0,0,9.88,-9.514974,11.549105,2.069396,9
0,0.03,7.41,0,2.47,9.88,-8.807363,10.617158,2.477273,9
0,0.04,7.41,0,0,7.41,-6.774964,11.187858,3.473336,9
0,0.05,4.94,0,0,4.94,-7.123044,8.978556,3.198096,9
0,0.06,4.94,0,0,4.94,-4.422252,10.35614,4.728705,9
0,0.07,4.94,0,2.47,7.41,NaN,NaN,NaN,9
0,0.08,4.94,0,2.47,7.41,-3.473315,7.02501,5.136533,9
0,0.09,2.47,0,2.47,4.94,-1.732996,7.070313,5.905235,9
0,0.1,4.94,0,2.47,7.41,-1.59968,5.487038,5.801326,9
0,0.11,2.47,0,0,2.47,-1.149036,4.693119,5.928821,9
0,0.12,0,0,0,0,-0.274343,4.695962,5.806427,9
0,0.13,2.5,0,0,2.5,0.325361,4.756579,6.317232,9
0,0.14,0,0,2.5,2.5,-4.25253,1.808593,5.553502,9
0,0.15,0,0,0,0,-4.532752,1.510947,5.554227,9
0,0.16,0,0,2.5,2.5,0.430814,4.054165,6.162126,9
0,0.17,0,0,0,0,2.646835,5.798033,6.699606,9
0,0.18,0,0,0,0,1.640117,4.835668,6.338426,9
0,0.19,0,0,0,0,1.828979,5.552809,6.219809,9
0,0.2,0,0,0,0,1.693709,5.050704,5.911066,9
0,0.21,0,0,0,0,1.340481,5.065258,5.941149,9
0,0.22,0,0,0,0,1.337111,5.406833,5.823447,9
0,0.23,0,0,0,0,0.423619,5.803475,5.842025,9
0,0.24,0,0,0,0,0.667933,5.163284,5.579898,9
0,0.25,0,0,0,0,-0.074789,5.715485,5.447023,9
0,0.26,0,0,0,0,0.156974,5.519042,5.502285,9
0,0.27,0,0,0,0,-0.367162,6.041102,5.276914,9
0,0.28,0,0,0,0,0.510351,5.83036,5.602457,9
0,0.29,0,0,0,0,0.553357,6.006546,5.294635,9
0,0.3,0,0,0,0,-0.093132,6.252467,5.504676,9
0,0.31,0,0,0,0,-0.186293,6.14553,5.682911,9
0,0.32,0,0,0,0,-0.815084,6.333564,5.46698,9
0,0.33,0,0,0,0,-1.963898,5.957548,5.505132,9
0,0.34,2.24,0,2.24,4.48,-1.944244,5.845808,5.349646,9
0,0.35,9.52,4.48,4.48,18.48,-1.642253,5.805884,5.395636,9
0,0.36,29.68,9.52,4.48,43.68,-2.799498,5.560505,5.473276,9
0,0.37,54.88,14.56,4.48,73.92,-3.389138,5.042226,6.451037,9
0,0.38,77.28,19.6,4.48,101.36,-4.835117,3.489874,7.527297,9
0,0.39,102.48,24.64,4.48,131.6,-4.969035,2.465445,7.856976,9
0,0.4,122.08,29.68,4.48,156.24,-4.87863,1.84631,7.820255,9
0,0.41,140,34.72,4.48,179.2,-4.400921,1.799858,7.592144,9
0,0.42,157.07,38.92,4.17,200.16,-4.620798,1.30716,6.86725,9
0,0.43,173.75,41.7,4.17,219.62,-4.623867,1.077923,6.185127,9
0,0.44,189.04,41.7,1.39,232.13,-4.569886,0.703515,5.224403,9
0,0.45,201.55,44.48,1.39,247.42,-4.727208,0.496831,4.898328,9
0,0.46,216.84,47.26,4.17,268.27,-4.871913,0.539397,4.955491,9
0,0.47,229.35,47.26,1.39,278,-5.260948,0.619006,5.165609,9
0,0.48,239.08,44.48,1.39,284.95,-5.014971,0.954022,5.494855,9
0,0.49,251.59,47.26,1.39,300.24,-5.014996,1.328468,5.533974,9
0,0.5,264.1,47.26,1.39,312.75,-5.234466,1.156266,5.577892,9
0,0.51,279.39,48.65,1.39,329.43,-5.270877,1.046452,5.434394,9
0,0.52,294.68,48.65,0,343.33,-5.42817,1.091165,5.335868,9
0,0.53,311.36,51.43,0,362.79,-5.73805,1.011812,5.352288,9
0,0.54,322.48,54.21,1.39,378.08,-5.673957,0.915471,5.766426,9
0,0.55,336.38,56.99,1.39,394.76,-5.517241,0.80853,5.747919,9
0,0.56,347.5,61.16,1.39,410.05,-5.538406,0.638217,5.84385,9
0,0.57,361.15,63.55,1.55,426.25,-5.500405,0.532273,5.96273,9
0,0.58,368.9,66.65,1.55,437.1,-5.128697,0.50285,5.865057,9
0,0.59,376.65,71.3,1.55,449.5,-5.015671,0.43625,6.000026,9
0,0.6,381.3,74.4,4.65,460.35,-4.96356,0.382091,6.291972,9
0,0.61,387.5,77.5,4.65,469.65,-5.260286,0.388803,6.687651,9
0,0.62,387.5,79.05,4.65,471.2,-5.200619,0.284545,6.614165,9
0,0.63,387.5,82.15,4.65,474.3,-5.096702,0.183232,6.495149,9
0,0.64,384.4,83.7,4.65,472.75,-4.947877,-0.008458,6.318048,9
0,0.65,381.3,86.8,4.65,472.75,-4.964416,-0.115261,6.199927,9
0,0.66,381.3,86.8,1.55,469.65,-4.77694,-0.26203,5.895022,9
0,0.67,376.65,86.8,1.55,465,-4.749575,-0.338871,5.889707,9
0,0.68,373.55,91.45,4.65,469.65,-4.681593,-0.355445,5.845254,9
